time	value
1/1/2005 6:00:00 AM	23.5
1/1/2005 6:05:00 AM	23.8
1/1/2005 6:10:00 AM	23.2
1/1/2005 6:15:00 AM	23.4
1/1/2005 6:20:00 AM	23.25
1/1/2005 6:25:00 AM	23.16
1/1/2005 6:30:00 AM	23.07
1/1/2005 6:35:00 AM	22.98
1/1/2005 6:40:00 AM	22.89
1/1/2005 6:45:00 AM	22.8
1/1/2005 6:50:00 AM	22.71
1/1/2005 6:55:00 AM	22.62
1/1/2005 7:00:00 AM	22.53
1/1/2005 7:05:00 AM	22.44
1/1/2005 7:10:00 AM	23.45
1/1/2005 7:15:00 AM	23.1
1/1/2005 7:20:00 AM	25.8
1/1/2005 7:25:00 AM	25.9
1/1/2005 7:30:00 AM	25.12
1/1/2005 7:35:00 AM	26.13
1/1/2005 7:40:00 AM	26.18
1/1/2005 7:45:00 AM	26.87
1/1/2005 7:50:00 AM	27.4
1/1/2005 7:55:00 AM	27.93
1/1/2005 8:00:00 AM	28.46
1/1/2005 8:05:00 AM	28.99
1/1/2005 8:10:00 AM	29.52
1/1/2005 8:15:00 AM	30.05
1/1/2005 8:20:00 AM	30.58
1/1/2005 8:25:00 AM	31.11
1/1/2005 8:30:00 AM	31.64
1/1/2005 8:35:00 AM	32.17
1/1/2005 8:40:00 AM	32.7
1/1/2005 8:45:00 AM	33.23
1/1/2005 8:50:00 AM	33.76
1/1/2005 8:55:00 AM	34.29
1/1/2005 9:00:00 AM	34.82
1/1/2005 9:05:00 AM	35.35
1/1/2005 9:10:00 AM	35.88
1/1/2005 9:15:00 AM	36.41
1/1/2005 9:20:00 AM	36.94
1/1/2005 9:25:00 AM	50.45
1/1/2005 9:30:00 AM	50.87
1/1/2005 9:35:00 AM	50.63
1/1/2005 9:40:00 AM	50.32
1/1/2005 9:45:00 AM	51.87
1/1/2005 9:50:00 AM	52.88
1/1/2005 9:55:00 AM	50.34
1/1/2005 10:00:00 AM	51.62
1/1/2005 10:05:00 AM	51.727
1/1/2005 10:10:00 AM	51.834
1/1/2005 10:15:00 AM	51.941
1/1/2005 10:20:00 AM	52.048
1/1/2005 10:25:00 AM	52.155
1/1/2005 10:30:00 AM	52.262
1/1/2005 10:35:00 AM	52.369
1/1/2005 10:40:00 AM	52.476
1/1/2005 10:45:00 AM	52.583
1/1/2005 10:50:00 AM	52.69
1/1/2005 10:55:00 AM	52.797
1/1/2005 11:00:00 AM	52.904
1/1/2005 11:05:00 AM	53.011
1/1/2005 11:10:00 AM	53.118
1/1/2005 11:15:00 AM	53.225
1/1/2005 11:20:00 AM	53.332
1/1/2005 11:25:00 AM	53.439
1/1/2005 11:30:00 AM	53.546
1/1/2005 11:35:00 AM	53.653
1/1/2005 11:40:00 AM	53.76
1/1/2005 11:45:00 AM	53.867
1/1/2005 11:50:00 AM	48.76
1/1/2005 11:55:00 AM	45.67
1/1/2005 12:00:00 PM	44.55
1/1/2005 12:05:00 PM	43.21
1/1/2005 12:10:00 PM	41.23
1/1/2005 12:15:00 PM	40.87
1/1/2005 12:20:00 PM	41.78
1/1/2005 12:25:00 PM	40.7
1/1/2005 12:30:00 PM	38.87
1/1/2005 12:35:00 PM	45.56
1/1/2005 12:40:00 PM	48.98
1/1/2005 12:45:00 PM	50.3
1/1/2005 12:50:00 PM	48.32
1/1/2005 12:55:00 PM	43
1/1/2005 1:00:00 PM	43.2
1/1/2005 1:05:00 PM	40.12
1/1/2005 1:10:00 PM	39.23
1/1/2005 1:15:00 PM	38.25
1/1/2005 1:20:00 PM	35.12
1/1/2005 1:25:00 PM	33.08
1/1/2005 1:30:00 PM	31.08
1/1/2005 1:35:00 PM	28.911
1/1/2005 1:40:00 PM	26.764
1/1/2005 1:45:00 PM	24.617
1/1/2005 1:50:00 PM	22.47
1/1/2005 1:55:00 PM	21.03
1/1/2005 2:00:00 PM	20.32
1/1/2005 2:05:00 PM	19.34
1/1/2005 2:10:00 PM	22.34
1/1/2005 2:15:00 PM	21.09
1/1/2005 2:19:00 PM	22.19
1/1/2005 2:24:00 PM	23.34
1/1/2005 2:29:00 PM	23.98
1/1/2005 2:34:00 PM	25.34
1/1/2005 2:39:00 PM	26.23
1/1/2005 2:44:00 PM	21.09
1/1/2005 2:49:00 PM	23.09
1/1/2005 2:54:00 PM	25.9
1/1/2005 2:59:00 PM	28.54
1/1/2005 3:04:00 PM	23.42
1/1/2005 3:09:00 PM	21.32
1/1/2005 3:14:00 PM	20.98
1/1/2005 3:19:00 PM	25.87
1/1/2005 3:24:00 PM	26.23
1/1/2005 3:29:00 PM	29.98
1/1/2005 3:34:00 PM	32.23
1/1/2005 3:39:00 PM	34.23
1/1/2005 3:44:00 PM	33.98
1/1/2005 3:49:00 PM	37.98
1/1/2005 3:54:00 PM	38.9
1/1/2005 3:59:00 PM	39.45
1/1/2005 4:04:00 PM	38.98
1/1/2005 4:09:00 PM	33.21
1/1/2005 4:14:00 PM	31.12
1/1/2005 4:19:00 PM	33.98
1/1/2005 4:24:00 PM	34.76
1/1/2005 4:29:00 PM	35.87
1/1/2005 4:34:00 PM	36.76
1/1/2005 4:39:00 PM	35.23
1/1/2005 4:44:00 PM	32.21
1/1/2005 4:49:00 PM	33.54
1/1/2005 4:54:00 PM	33.21
1/1/2005 4:59:00 PM	35.67
