	Population	Area	MedianAge
Andorra	69865	468	39.7
Austria	8174762	83870	40
Belgium	10348276	30528	40.2
Czech	10246178	78866	38.6
Denmark	5413392	43094	39.2
Finland	5214512	338145	40.7
France	60424213	547030	38.6
Germany	82424609	357021	41.7
Ireland	3969558	70280	33.4
Italy	58057477	301230	41.4	
Liech.	33436	160	38.8
Lux.	462690	2586	38.3
Netherlands	16318199	41526	38.7
Norway	4574560	324220	37.9
Portugal	10524145	92391	37.9
Spain	40280780	504782	39.1
Sweden	8986400	449964	40.3
Switzerland	7450867	41290	39.5
U. K.	60270708	244820	38.7
