	Bush	Gore
Alachua	34135	47380
Baker	5611	2392
Bay	38682	18873
Bradford	5416	3075
Brevard	115253	97341
Broward	177939	387760
Calhoun	2873	2156
Charlotte	35428	29646
Citrus	29801	25531
Clay	41903	14668
Collier	60467	29939
Columbia	10968	7049
Dade	289574	328867
De Soto	4256	3321
Dixie	2697	1827
Duval	152460	108039
Escambia	73171	40990
Flagler	12618	13897
Franklin	2454	2047
Gadsden	4770	9736
Gilchrist	3300	1910
Glades	1841	1442
Gulf	3553	2398
Hamilton	2147	1723
Hardee	3765	2342
Hendry	4747	3240
Hernando	30658	32648
Highlands	20207	14169
Hillsborough	180794	169576
Holmes	5012	2177
Indian River	28639	19769
Jackson	9139	6870
Jefferson	2478	3041
Lafayette	1670	789
Lake	50010	36571
Lee	106151	73571
Leon	39073	61444
Levy	6863	5398
Liberty	1317	1017
Madison	3038	3015
Manatee	58023	49226
Marion	55146	44674
Martin	33972	26621
Monroe	16063	16487
Nassau	16408	6955
Okaloosa	52186	16989
Okeechobee	5057	4589
Orange	134531	140236
Osceola	26237	28187
Palm Beach	152964	269754
Pasco	68607	69576
Pinellas	184849	200657
Polk	90310	75207
Putnam	13457	12107
St. Johns	39564	19509
St. Lucie	34705	41560
Santa Rosa	36339	12818
Sarasota	83117	72869
Seminole	75790	59227
Sumter	12127	9637
Suwannee	8009	4076
Taylor	4058	2649
Union	2332	1407
Volusia	82368	97313
Wakulla	4512	3838
Walton	12186	5643
Washington	4995	2798
