date	high	low	close
4/2/2001	54.63	55.81	56.94
4/3/2001	52.75	53.38	55.31
4/4/2001	51.06	51.94	55
4/5/2001	53.5	56.75	57.38
4/6/2001	55.06	56.19	57.19
4/9/2001	55.66	57.15	57.42
4/10/2001	57.78	59.68	60.09
4/11/2001	59.7	60.04	61.5
4/12/2001	59.35	62.18	62.31
4/16/2001	60.12	60.79	61.58
4/17/2001	60.04	61.48	62.11
4/18/2001	63	65.43	66.31
4/19/2001	65.75	68.04	69
4/20/2001	68.5	69	71.1
4/23/2001	66.9	68.25	68.47
4/24/2001	67.14	67.55	69.93
4/25/2001	67.25	69.69	69.79
4/26/2001	68.25	69.13	71
4/27/2001	66.21	67.12	69.68
4/30/2001	67.68	67.75	69.06
5/1/2001	67.6	70.17	70.3
5/2/2001	69.35	69.76	71.15
5/3/2001	68.14	68.53	70.18
5/4/2001	67.96	70.75	71.05
5/7/2001	70.7	71.38	72.15
5/8/2001	70.75	72.06	72.1
5/9/2001	69.86	70.4	71.3
5/10/2001	69.96	70	71.24
5/11/2001	68.65	69.4	70
5/14/2001	68.3	68.72	69.2
5/15/2001	68	68.27	69.3
5/16/2001	67.33	69.16	69.88
5/17/2001	67.55	68.17	70.14
5/18/2001	67.25	68.09	69.2
5/21/2001	67.75	68.79	69.99
5/22/2001	69.18	70.31	70.35
5/23/2001	69.51	69.7	71.6
5/24/2001	69.27	71.72	71.78
5/25/2001	70.36	70.91	71.9
5/29/2001	70.05	70.34	71.75
5/30/2001	68.65	69.19	70.58
5/31/2001	68.4	69.18	70.38
6/1/2001	68.7	70.34	70.7
6/4/2001	69.8	70.78	71.02
6/5/2001	70.5	72.6	73.08
6/6/2001	71.55	72.36	73.48
6/7/2001	72.08	73.68	73.73
6/8/2001	72.05	73.19	73.75
6/11/2001	71.51	72.12	72.85
6/12/2001	70.81	72.08	72.41
6/13/2001	70.64	70.69	72.3
6/14/2001	68.4	68.9	70.55
6/15/2001	66.4	68.02	68.3
6/18/2001	66.01	66.88	67.96
6/19/2001	66.85	67.32	68.85
6/20/2001	67.1	69.41	69.59
6/21/2001	68.92	69.84	70.55
6/22/2001	68.58	68.83	70.61
6/25/2001	67.77	68.85	69.81
6/26/2001	67.7	70.14	70.21
6/27/2001	69.36	71.14	71.53
6/28/2001	70.53	72.74	76.15
6/29/2001	71.4	73	73.41
