	Bush	Gore
Bernalillo	95249	99461
Catron	1273	353
Chaves	11378	6340
Cibola	2752	4127
Colfax	2600	2653
Curry	8301	3471
De Baca	612	349
Dona Ana	21263	23912
Eddy	10335	7108
Grant	4961	5673
Guadalupe	548	1076
Harding	366	214
Hidalgo	954	839
Lea	10157	3855
Lincoln	4458	2027
Los Alamos	5623	4149
Luna	3395	2975
McKinley	5070	10281
Mora	668	1456
Otero	10258	5465
Quay	2292	1471
Rio Arriba	3495	8169
Roosevelt	3762	1762
Sandoval	15423	14899
San Juan	21434	11980
San Miguel	2215	6540
Santa Fe	13974	32017
Sierra	2721	1689
Socorro	3173	3294
Taos	2744	7039
Torrance	2891	1868
Union	1269	452
Valencia	10803	9819
